,tweets,user_name,location,geo,ftokens,lemma,positive,neutral,negative
88,The first dog to test positive for coronavirus in the US has died via  ,FemBOMB,Arkansas,,"['first', 'dog', 'test', 'positive', 'coronavirus', 'us', 'died', 'via']","['first', 'dog', 'test', 'positive', 'coronavirus', 'u', 'die', 'via']",1,0,0
89,    Governors have zero say in what hospital doctors prescri… ,tomsirolimus,,,"['governors', 'zero', 'say', 'hospital', 'doctors', 'prescri…']","['governor', 'zero', 'say', 'hospital', 'doctor', 'prescri…']",0,1,0
90, So who are these medical professionals that decided anything to do with hydroychloroquin against covid… ,_jimmyfats,,,"['medical', 'professionals', 'decided', 'anything', 'hydroychloroquin', 'covid…']","['medical', 'professional', 'decide', 'anything', 'hydroychloroquin', 'covid…']",0,1,0
91,Exclusive Buddy first dog to test positive for COVID19 in the US has died ,Hamstertweet93,California,,"['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died']","['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die']",1,0,0
92,  There is also a nifty military jet in the covid help bill,Cranmer3483,RT/L not endorsements,,"['also', 'nifty', 'military', 'jet', 'covid', 'help', 'bill']","['also', 'nifty', 'military', 'jet', 'covid', 'help', 'bill']",0,0,1
93, With death toll from Covid rising I say let people try hydroxychloroquine Yale Universitys Dr R… ,LindaSchmidt12, Iowa,,"['death', 'toll', 'covid', 'rising', 'say', 'let', 'people', 'try', 'hydroxychloroquine', 'yale', 'universitys', 'dr', 'r…']","['death', 'toll', 'covid', 'rise', 'say', 'let', 'people', 'try', 'hydroxychloroquine', 'yale', 'universitys', 'dr', 'r…']",0,1,0
94, Don’t support places that won’t support the effort against Covid We need to stop this virus so we can… ,AnnMcMD,Middle of North America,,"['’', 'support', 'places', '’', 'support', 'effort', 'covid', 'need', 'stop', 'virus', 'can…']","['’', 'support', 'place', '’', 'support', 'effort', 'covid', 'need', 'stop', 'virus', 'can…']",0,1,0
95,Buddy first dog to test positive for COVID19 in the US has died  Even though the GermanShepherd likely had c… ,LLRX,,,"['buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died', 'even', 'though', 'germanshepherd', 'likely', 'c…']","['buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die', 'even', 'though', 'germanshepherd', 'likely', 'c…']",1,0,0
96, hydroxychloriquineworks  Please help Texas fight Covid,ChefBetoRodarte,,,"['hydroxychloriquineworks', 'please', 'help', 'texas', 'fight', 'covid']","['hydroxychloriquineworks', 'please', 'help', 'texas', 'fight', 'covid']",0,1,0
97,A Texas congressman who often refused to wear a mask has tested positive for COVID19 and suggests wearing a mask m… ,davidcharns,,,"['texas', 'congressman', 'often', 'refused', 'wear', 'mask', 'tested', 'positive', 'covid19', 'suggests', 'wearing', 'mask', 'm…']","['texas', 'congressman', 'often', 'refuse', 'wear', 'mask', 'test', 'positive', 'covid19', 'suggest', 'wear', 'mask', 'm…']",1,0,0
98, Yes you idiot quit refusing to give Americans what they need to pay their bills Instead you want to… ,bespeterson,Newbury Park CA,,"['yes', 'idiot', 'quit', 'refusing', 'give', 'americans', 'need', 'pay', 'bills', 'instead', 'want', 'to…']","['yes', 'idiot', 'quit', 'refuse', 'give', 'american', 'need', 'pay', 'bill', 'instead', 'want', 'to…']",0,0,1
99, trump is doing nothing to help us with covid,Alejand65202270,,,"['trump', 'nothing', 'help', 'us', 'covid']","['trump', 'nothing', 'help', 'u', 'covid']",0,1,0
100,Got symptoms of SARSCoV2 such as a fever but the test comes back negative Have you been outdoor in vegetated ar… ,eTickCA,"Sherbrooke, Québec",,"['got', 'symptoms', 'sarscov2', 'fever', 'test', 'comes', 'back', 'negative', 'outdoor', 'vegetated', 'ar…']","['get', 'symptom', 'sarscov2', 'fever', 'test', 'come', 'back', 'negative', 'outdoor', 'vegetate', 'ar…']",0,0,1
101,The key to defeating COVID19 already exists We need to start using it  Opinion ,jenleebunch,,,"['key', 'defeating', 'covid19', 'already', 'exists', 'need', 'start', 'using', 'opinion']","['key', 'defeat', 'covid19', 'already', 'exist', 'need', 'start', 'use', 'opinion']",0,1,0
102,Bill Gates Slow Turnaround of COVID19 Tests Makes Them A Complete Waste American Patrio… ,rlthatejt,,,"['bill', 'gates', 'slow', 'turnaround', 'covid19', 'tests', 'makes', 'complete', 'waste', 'american', 'patrio…']","['bill', 'gate', 'slow', 'turnaround', 'covid19', 'test', 'make', 'complete', 'waste', 'american', 'patrio…']",0,0,1
103,Very sad news Exclusive Buddy first dog to test positive for COVID19 in the US has died ,pi_lizzie,Left my ❤️ n N. O. ⚜️,,"['sad', 'news', 'exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died']","['sad', 'news', 'exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die']",0,0,1
104,I needed a new profile picture for the social mediasSo happy to have found  to make this amazing p… ,leavingrichmond,los angeles,,"['needed', 'new', 'profile', 'picture', 'social', 'mediasso', 'happy', 'found', 'make', 'amazing', 'p…']","['need', 'new', 'profile', 'picture', 'social', 'mediasso', 'happy', 'find', 'make', 'amazing', 'p…']",1,0,0
105,Of the 27000 tests yesterday only were 77 positive Because of previous false positives reported Toronto actually… ,Markus4Ward2,Etobicoke,,"['27000', 'tests', 'yesterday', '77', 'positive', 'previous', 'false', 'positives', 'reported', 'toronto', 'actually…']","['27000', 'test', 'yesterday', '77', 'positive', 'previous', 'false', 'positive', 'report', 'toronto', 'actually…']",0,0,1
106,Nearly 1000 new COVID19 cases 7 new deaths in Bexar County ,mtcfsh,Ft. Sam Houston,,"['nearly', '1000', 'new', 'covid19', 'cases', '7', 'new', 'deaths', 'bexar', 'county']","['nearly', '1000', 'new', 'covid19', 'case', '7', 'new', 'death', 'bexar', 'county']",1,0,0
107, if you tuck your shirt into your underpants you reduce your risk of spreading covid by 63 pack t… ,DumbWings,"New Jersey, USA",,"['tuck', 'shirt', 'underpants', 'reduce', 'risk', 'spreading', 'covid', '63', 'pack', 't…']","['tuck', 'shirt', 'underpants', 'reduce', 'risk', 'spread', 'covid', '63', 'pack', 't…']",0,1,0
108,107282020 Belarus president who suggested vodka cured COVID19 says he tested positive,CodesUcq,,,"['107282020', 'belarus', 'president', 'suggested', 'vodka', 'cured', 'covid19', 'says', 'tested', 'positive']","['107282020', 'belarus', 'president', 'suggest', 'vodka', 'cure', 'covid19', 'say', 'test', 'positive']",1,0,0
109,SENATE NEEDS TO INCREASE SNAP BENEFITS ITS NOW OR NEVER Call Congress 800 8263688 Increase SNAP benefits by… ,NewMexicoIPL,"Albuquerque, New Mexico",,"['senate', 'needs', 'increase', 'snap', 'benefits', 'never', 'call', 'congress', '800', '8263688', 'increase', 'snap', 'benefits', 'by…']","['senate', 'need', 'increase', 'snap', 'benefit', 'never', 'call', 'congress', '800', '8263688', 'increase', 'snap', 'benefit', 'by…']",0,1,0
110,I heard some real nonsense today That because the average number of deaths in the UK this year is lower than last… ,dmsenterprise,UK,,"['heard', 'real', 'nonsense', 'today', 'average', 'number', 'deaths', 'uk', 'year', 'lower', 'last…']","['heard', 'real', 'nonsense', 'today', 'average', 'number', 'death', 'uk', 'year', 'lower', 'last…']",1,0,0
111, How to Spread Covid  Exhibit A,BethGummere,,,"['spread', 'covid', 'exhibit']","['spread', 'covid', 'exhibit']",0,1,0
112, Hey look congressman covid looks like a rioter Where are the Gestapo when you need one,BobbieNYC10012,"Saint Louis, MO NYer #StrongerTogether #FactsMatter #TrumpRussia #TrumpCrimeFamily",,"['hey', 'look', 'congressman', 'covid', 'looks', 'like', 'rioter', 'gestapo', 'need', 'one']","['hey', 'look', 'congressman', 'covid', 'look', 'like', 'rioter', 'gestapo', 'need', 'one']",0,1,0
113,i hope plussy actually gets covid for making everyone get emotional and scared about his death,bananazucc,"Chicago, IL",,"['hope', 'plussy', 'actually', 'gets', 'covid', 'making', 'everyone', 'get', 'emotional', 'scared', 'death']","['hope', 'plussy', 'actually', 'get', 'covid', 'make', 'everyone', 'get', 'emotional', 'scar', 'death']",0,1,0
114,Pelosi mandates masks in House chamber after Gohmert tests positive for Covid19 ,InSpiteOfTrump,United States,,"['pelosi', 'mandates', 'masks', 'house', 'chamber', 'gohmert', 'tests', 'positive', 'covid19']","['pelosi', 'mandate', 'mask', 'house', 'chamber', 'gohmert', 'test', 'positive', 'covid19']",1,0,0
115,    Public transit must be shut down Your spreading the co… ,DargoSmith,United States,,"['public', 'transit', 'must', 'shut', 'spreading', 'co…']","['public', 'transit', 'must', 'shut', 'spread', 'co…']",0,0,1
116,  Yes we need to take absolute care amp error on the side of caution always Grandmother’s retire… ,marbles_pebbles,,,"['yes', 'need', 'take', 'absolute', 'care', 'amp', 'error', 'side', 'caution', 'always', 'grandmother', '’', 'retire…']","['yes', 'need', 'take', 'absolute', 'care', 'amp', 'error', 'side', 'caution', 'always', 'grandmother', '’', 'retire…']",1,0,0
117,  Uh does this chart indicate theres a total of 5700 covid deaths,simple_centrist,,,"['uh', 'chart', 'indicate', 'theres', 'total', '5700', 'covid', 'deaths']","['uh', 'chart', 'indicate', 'there', 'total', '5700', 'covid', 'death']",0,1,0
118,Day 126 of Lockdown and 7 497 Covid19 death cases reported  Mixed messaging around socialdistancing from pe… ,buildingheart,South Africa,,"['day', '126', 'lockdown', '7', '497', 'covid19', 'death', 'cases', 'reported', 'mixed', 'messaging', 'around', 'socialdistancing', 'pe…']","['day', '126', 'lockdown', '7', '497', 'covid19', 'death', 'case', 'report', 'mixed', 'message', 'around', 'socialdistancing', 'pe…']",0,1,0
119, but that they spread the illness She says that sending kids back to inperson classes is putting everybody in… ,ByJamesHartley,"Dallas/Fort Worth, Texas",,"['spread', 'illness', 'says', 'sending', 'kids', 'back', 'inperson', 'classes', 'putting', 'everybody', 'in…']","['spread', 'illness', 'say', 'send', 'kid', 'back', 'inperson', 'class', 'put', 'everybody', 'in…']",0,1,0
120, If we can’t handle a lice outbreak then no way in hell we can handle a Covid one,batmandude461,Confidential,,"['’', 'handle', 'lice', 'outbreak', 'way', 'hell', 'handle', 'covid', 'one']","['’', 'handle', 'louse', 'outbreak', 'way', 'hell', 'handle', 'covid', 'one']",0,1,0
121,N95 in hospital COVID19Aus wards See this MJA preprint by experts for why guidance change important to consider… ,MJA_Editor,"Sydney, New South Wales",,"['n95', 'hospital', 'covid19aus', 'wards', 'see', 'mja', 'preprint', 'experts', 'guidance', 'change', 'important', 'consider…']","['n95', 'hospital', 'covid19aus', 'ward', 'see', 'mja', 'preprint', 'expert', 'guidance', 'change', 'important', 'consider…']",1,0,0
122, A lot of money was raised for COVID relief which is super great Faking your death instead of just step… ,ColtonRubel,Wouldn’t you like to know,,"['lot', 'money', 'raised', 'covid', 'relief', 'super', 'great', 'faking', 'death', 'instead', 'step…']","['lot', 'money', 'raise', 'covid', 'relief', 'super', 'great', 'fake', 'death', 'instead', 'step…']",1,0,0
123,US covid death toll reaches 150K  Thats the same size as the city I live in  nobodylikestrump because he is no… ,Tmerrem,"Sunnyvale, CA",,"['us', 'covid', 'death', 'toll', 'reaches', '150k', 'thats', 'size', 'city', 'live', 'nobodylikestrump', 'no…']","['u', 'covid', 'death', 'toll', 'reach', '150k', 'thats', 'size', 'city', 'live', 'nobodylikestrump', 'no…']",1,0,0
124,just got a covid test it was SO EASY YALL i don’t have any symptoms but it’s important to get tested anyway sin… ,laurenmoran,manhattan,,"['got', 'covid', 'test', 'easy', 'yall', '’', 'symptoms', '’', 'important', 'get', 'tested', 'anyway', 'sin…']","['get', 'covid', 'test', 'easy', 'yall', '’', 'symptom', '’', 'important', 'get', 'test', 'anyway', 'sin…']",1,0,0
125,Our partners at Bangalore Baptist Hospital in India are providing relief to a community that has been heavily affec… ,sendrelief,,,"['partners', 'bangalore', 'baptist', 'hospital', 'india', 'providing', 'relief', 'community', 'heavily', 'affec…']","['partner', 'bangalore', 'baptist', 'hospital', 'india', 'provide', 'relief', 'community', 'heavily', 'affec…']",0,0,1
126,Heads up Florida is closing ALL COVID19 testing sites until further notice due to the tropical storm Schools are STILL unsafe,SatansCommie,America’s Sunshine Hellscape,,"['heads', 'florida', 'closing', 'covid19', 'testing', 'sites', 'notice', 'due', 'tropical', 'storm', 'schools', 'still', 'unsafe']","['head', 'florida', 'close', 'covid19', 'test', 'site', 'notice', 'due', 'tropical', 'storm', 'school', 'still', 'unsafe']",0,0,1
127,So far so good After the second round of daily COVID19 testing ZERO out of 344 NBA players tested positive in… ,thegistnewsca,"Toronto, Ontario",,"['far', 'good', 'second', 'round', 'daily', 'covid19', 'testing', 'zero', '344', 'nba', 'players', 'tested', 'positive', 'in…']","['far', 'good', 'second', 'round', 'daily', 'covid19', 'test', 'zero', '344', 'nba', 'player', 'test', 'positive', 'in…']",1,0,0
128,BREAKING NEWS The first dog to test positive for coronavirus in the US has died via  ,pambles4life,"Chicago, IL",,"['breaking', 'news', 'first', 'dog', 'test', 'positive', 'coronavirus', 'us', 'died', 'via']","['break', 'news', 'first', 'dog', 'test', 'positive', 'coronavirus', 'u', 'die', 'via']",1,0,0
129,IDOC says the inmate who died was being treated for other serious medical conditions when he tested positive for th… ,CBS2Boise,"Boise, ID",,"['idoc', 'says', 'inmate', 'died', 'treated', 'serious', 'medical', 'conditions', 'tested', 'positive', 'th…']","['idoc', 'say', 'inmate', 'die', 'treat', 'serious', 'medical', 'condition', 'test', 'positive', 'th…']",0,0,1
130,Imagine how history will look on idiots like  who wont wear masks willing to worsen spread cause theyre… ,kurteichenwald,,,"['imagine', 'history', 'look', 'idiots', 'like', 'wont', 'wear', 'masks', 'willing', 'worsen', 'spread', 'cause', 'theyre…']","['imagine', 'history', 'look', 'idiot', 'like', 'wont', 'wear', 'mask', 'willing', 'worsen', 'spread', 'cause', 'theyre…']",0,0,1
131,  “The most recent publicized federal data records 48000 deaths from suicide and at lea… ,SayItAintSter,,,"['“', 'recent', 'publicized', 'federal', 'data', 'records', '48000', 'deaths', 'suicide', 'lea…']","['“', 'recent', 'publicize', 'federal', 'data', 'record', '48000', 'death', 'suicide', 'lea…']",1,0,0
132,Exclusive Buddy first dog to test positive for COVID19 in the US has died  via ,bachausProtonm1,,,"['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died', 'via']","['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die', 'via']",1,0,0
133,What if covid spread by contamination of our waterWhat would government do to prevent uncovering fein a ai… ,tiggersprowl,,,"['covid', 'spread', 'contamination', 'waterwhat', 'would', 'government', 'prevent', 'uncovering', 'fein', 'ai…']","['covid', 'spread', 'contamination', 'waterwhat', 'would', 'government', 'prevent', 'uncovering', 'fein', 'ai…']",0,1,0
134,So explain to me how half the Miami Marlins baseball team gets COVID but the other half of the team tests negative… ,PTF96,"Chicago, IL",,"['explain', 'half', 'miami', 'marlins', 'baseball', 'team', 'gets', 'covid', 'half', 'team', 'tests', 'negative…']","['explain', 'half', 'miami', 'marlins', 'baseball', 'team', 'get', 'covid', 'half', 'team', 'test', 'negative…']",0,0,1
135,  First in Covid19 cases and deaths First Ally to abandon NATO efforts to keep Russia… ,BWobberts,,,"['first', 'covid19', 'cases', 'deaths', 'first', 'ally', 'abandon', 'nato', 'efforts', 'keep', 'russia…']","['first', 'covid19', 'case', 'death', 'first', 'ally', 'abandon', 'nato', 'effort', 'keep', 'russia…']",1,0,0
136,New program helps homeless pets during COVID19 ,seterapia,"Brooklyn, NY",,"['new', 'program', 'helps', 'homeless', 'pets', 'covid19']","['new', 'program', 'help', 'homeless', 'pet', 'covid19']",1,0,0
137, No Its a terrible ideaCall it Covid Spreading Hour or Everyone Gets Covid HourStores wou… ,DavidKrae,here,,"['terrible', 'ideacall', 'covid', 'spreading', 'hour', 'everyone', 'gets', 'covid', 'hourstores', 'wou…']","['terrible', 'ideacall', 'covid', 'spread', 'hour', 'everyone', 'get', 'covid', 'hourstores', 'wou…']",0,0,1
138,A pizza restaurant in Sydney is the latest venue to close after a patron tested positive for COVID19 7NEWS ,7NewsAustralia,Australia,,"['pizza', 'restaurant', 'sydney', 'latest', 'venue', 'close', 'patron', 'tested', 'positive', 'covid19', '7news']","['pizza', 'restaurant', 'sydney', 'late', 'venue', 'close', 'patron', 'test', 'positive', 'covid19', '7news']",1,0,0
139,coronavirusVSseptember11attacks 150000 covid19 deaths can be compared to the deaths of the passengers on the 2… ,2020Minority,,,"['coronavirusvsseptember11attacks', '150000', 'covid19', 'deaths', 'compared', 'deaths', 'passengers', '2…']","['coronavirusvsseptember11attacks', '150000', 'covid19', 'death', 'compare', 'death', 'passenger', '2…']",0,1,0
140,Noooooooo Buddy first dog to test positive for COVID19 in the US has died ,Wolfe321,New York,,"['noooooooo', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died']","['noooooooo', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die']",1,0,0
141,   If doctors follow Fauci’s medical opinion and opt not to prescribe hydroxych… ,tiltedsun1,EST,,"['doctors', 'follow', 'fauci', '’', 'medical', 'opinion', 'opt', 'prescribe', 'hydroxych…']","['doctor', 'follow', 'fauci', '’', 'medical', 'opinion', 'opt', 'prescribe', 'hydroxych…']",0,1,0
142,  I would like the media to focus on the excess death rate We know the government are fidd… ,AnnaMcDuff,NY,,"['would', 'like', 'media', 'focus', 'excess', 'death', 'rate', 'know', 'government', 'fidd…']","['would', 'like', 'medium', 'focus', 'excess', 'death', 'rate', 'know', 'government', 'fidd…']",0,1,0
143, Everyone should wake TFU  death from Covid is final but mitigation will help till a vaccine available,CSwatson9,"Charlotte, NC",,"['everyone', 'wake', 'tfu', 'death', 'covid', 'final', 'mitigation', 'help', 'till', 'vaccine', 'available']","['everyone', 'wake', 'tfu', 'death', 'covid', 'final', 'mitigation', 'help', 'till', 'vaccine', 'available']",1,0,0
144,45 new deaths in 24 hours in North CarolinaThe story is the same in the North South West EastDeaths are ri… ,Heerak4Congress,"Arlington, Virginia",,"['45', 'new', 'deaths', '24', 'hours', 'north', 'carolinathe', 'story', 'north', 'south', 'west', 'eastdeaths', 'ri…']","['45', 'new', 'death', '24', 'hour', 'north', 'carolinathe', 'story', 'north', 'south', 'west', 'eastdeaths', 'ri…']",1,0,0
145,   Trumpers intentionally spread COVID19 because they are all traitors who want to destroy America,JasonLongDickey,,,"['trumpers', 'intentionally', 'spread', 'covid19', 'traitors', 'want', 'destroy', 'america']","['trumpers', 'intentionally', 'spread', 'covid19', 'traitor', 'want', 'destroy', 'america']",0,0,1
146,  Sweden has reported ANY deaths where Covid19 has been present Every death hasnt necessar… ,dakkster, ,,"['sweden', 'reported', 'deaths', 'covid19', 'present', 'every', 'death', 'hasnt', 'necessar…']","['sweden', 'report', 'death', 'covid19', 'present', 'every', 'death', 'hasnt', 'necessar…']",0,1,0
147,As someone who needs to be and has been particularly cautious about covid and staying within my bubble due to immun… ,Killapatra555,,,"['someone', 'needs', 'particularly', 'cautious', 'covid', 'staying', 'within', 'bubble', 'due', 'immun…']","['someone', 'need', 'particularly', 'cautious', 'covid', 'stay', 'within', 'bubble', 'due', 'immun…']",1,0,0
148, Shutting down COVID test sites for a storm that’s not predicted to be a big deal in the middle of a… ,FloridaZ14,,,"['shutting', 'covid', 'test', 'sites', 'storm', '’', 'predicted', 'big', 'deal', 'middle', 'a…']","['shut', 'covid', 'test', 'site', 'storm', '’', 'predict', 'big', 'deal', 'middle', 'a…']",0,0,1
149,The key to defeating COVID19 already exists We need to start using it  Opinion ,MosesZD,,,"['key', 'defeating', 'covid19', 'already', 'exists', 'need', 'start', 'using', 'opinion']","['key', 'defeat', 'covid19', 'already', 'exist', 'need', 'start', 'use', 'opinion']",0,1,0
150,  You still celebrating the Covid 19 death title Good for you,alfgarnett54,,,"['still', 'celebrating', 'covid', '19', 'death', 'title', 'good']","['still', 'celebrate', 'covid', '19', 'death', 'title', 'good']",1,0,0
151,The North Dakota University System is arranging mass testing events for COVID19 in multiple locations across the s… ,NDSU,"Fargo, ND",,"['north', 'dakota', 'university', 'system', 'arranging', 'mass', 'testing', 'events', 'covid19', 'multiple', 'locations', 'across', 's…']","['north', 'dakota', 'university', 'system', 'arrange', 'mass', 'test', 'event', 'covid19', 'multiple', 'location', 'across', 's…']",0,1,0
152,Eight  students and a youth who attended an athletic camp at the university have tested positive for… ,SDNewsWatch,"South Dakota, USA",,"['eight', 'students', 'youth', 'attended', 'athletic', 'camp', 'university', 'tested', 'positive', 'for…']","['eight', 'student', 'youth', 'attend', 'athletic', 'camp', 'university', 'test', 'positive', 'for…']",1,0,0
153,Vitamin D helps us fight Covid19 major study finds  via ,jep1299,United States,,"['vitamin', 'helps', 'us', 'fight', 'covid19', 'major', 'study', 'finds', 'via']","['vitamin', 'help', 'u', 'fight', 'covid19', 'major', 'study', 'find', 'via']",1,0,0
154, Dr Fauci Wear goggles or eye shields to prevent spread of COVID19 flu vaccine a must  ABC News via   ,Reem_Hafiz,,,"['dr', 'fauci', 'wear', 'goggles', 'eye', 'shields', 'prevent', 'spread', 'covid19', 'flu', 'vaccine', 'must', 'abc', 'news', 'via']","['dr', 'fauci', 'wear', 'goggles', 'eye', 'shield', 'prevent', 'spread', 'covid19', 'flu', 'vaccine', 'must', 'abc', 'news', 'via']",0,1,0
155,ScamdemicHospital admits Covid reported deaths aren‘t even deaths caused by Covid ,LBF777,,,"['scamdemichospital', 'admits', 'covid', 'reported', 'deaths', '‘', 'even', 'deaths', 'caused', 'covid']","['scamdemichospital', 'admit', 'covid', 'report', 'death', '‘', 'even', 'death', 'cause', 'covid']",0,1,0
156, Hang fire wait till flu season and quite a few thousand people going back to the hospitals to get thier di… ,PhilRowbotham1,"Preston, England",,"['hang', 'fire', 'wait', 'till', 'flu', 'season', 'quite', 'thousand', 'people', 'going', 'back', 'hospitals', 'get', 'thier', 'di…']","['hang', 'fire', 'wait', 'till', 'flu', 'season', 'quite', 'thousand', 'people', 'go', 'back', 'hospital', 'get', 'thier', 'di…']",0,0,1
157,This table highlights the flaw in Vic’s Covid testing  I’m in Boroondara  Only 51 active cases for almost as many… ,piepaulie,"Melbourne, Vic, Australia ",,"['table', 'highlights', 'flaw', 'vic', '’', 'covid', 'testing', '’', 'boroondara', '51', 'active', 'cases', 'almost', 'many…']","['table', 'highlight', 'flaw', 'vic', '’', 'covid', 'test', '’', 'boroondara', '51', 'active', 'case', 'almost', 'many…']",0,0,1
158,A pizza restaurant in Sydney’s inner west is the latest venue to close after a patron tested positive for COVID19… ,7NewsSydney,Sydney,,"['pizza', 'restaurant', 'sydney', '’', 'inner', 'west', 'latest', 'venue', 'close', 'patron', 'tested', 'positive', 'covid19…']","['pizza', 'restaurant', 'sydney', '’', 'inner', 'west', 'late', 'venue', 'close', 'patron', 'test', 'positive', 'covid19…']",1,0,0
159,My boss’s husband “recovered” from COVID It’s been a couple of months but he still needs to go in to get his lung… ,mojorao233,"Connecticut, USA",,"['boss', '’', 'husband', '“', 'recovered', '”', 'covid', '’', 'couple', 'months', 'still', 'needs', 'go', 'get', 'lung…']","['bos', '’', 'husband', '“', 'recover', '”', 'covid', '’', 'couple', 'month', 'still', 'need', 'go', 'get', 'lung…']",0,1,0
160,I never watched this but wtfthere are people sying of Covid yet this guy faked his death on itDisgusting ,FlamingQuilava1,"UK,England",,"['never', 'watched', 'wtfthere', 'people', 'sying', 'covid', 'yet', 'guy', 'faked', 'death', 'itdisgusting']","['never', 'watch', 'wtfthere', 'people', 'sying', 'covid', 'yet', 'guy', 'fake', 'death', 'itdisgusting']",0,1,0
161,Guess what peeps your individualistic views of “I’m special” “I’m unique” needs to be changed into “I’m a human an… ,FearlessCara,,,"['guess', 'peeps', 'individualistic', 'views', '“', '’', 'special', '”', '“', '’', 'unique', '”', 'needs', 'changed', '“', '’', 'human', 'an…']","['guess', 'peep', 'individualistic', 'view', '“', '’', 'special', '”', '“', '’', 'unique', '”', 'need', 'change', '“', '’', 'human', 'an…']",1,0,0
162,Took a COVID19 test I do not have it ,RangerNAT90,,,"['took', 'covid19', 'test']","['take', 'covid19', 'test']",0,1,0
163,Small group but damn  people think COVID is life or death but it seems the lifelong effects are being ignored ,georgiadelaine,"Los Angeles, CA",,"['small', 'group', 'damn', 'people', 'think', 'covid', 'life', 'death', 'seems', 'lifelong', 'effects', 'ignored']","['small', 'group', 'damn', 'people', 'think', 'covid', 'life', 'death', 'seem', 'lifelong', 'effect', 'ignore']",0,0,1
164,How long after a COVID test does the result become irrelevant because so much time has passed,DyHrdMET,"NJ, USA",,"['long', 'covid', 'test', 'result', 'become', 'irrelevant', 'much', 'time', 'passed']","['long', 'covid', 'test', 'result', 'become', 'irrelevant', 'much', 'time', 'pass']",0,0,1
165,The first dog to test positive for coronavirus in the US has died via  ,reg_inee,Worldwide,,"['first', 'dog', 'test', 'positive', 'coronavirus', 'us', 'died', 'via']","['first', 'dog', 'test', 'positive', 'coronavirus', 'u', 'die', 'via']",1,0,0
166,Open SmartNews to read US hits 150000 deaths from COVID19 as states struggle to halt resurgence here… ,mcraddock1967,trenton nj,,"['open', 'smartnews', 'read', 'us', 'hits', '150000', 'deaths', 'covid19', 'states', 'struggle', 'halt', 'resurgence', 'here…']","['open', 'smartnews', 'read', 'u', 'hit', '150000', 'death', 'covid19', 'state', 'struggle', 'halt', 'resurgence', 'here…']",0,1,0
167,US coronavirus deaths top 150000 highest toll worldwide SmartNews  ,olson_jessie,"South Haven, MI",,"['us', 'coronavirus', 'deaths', 'top', '150000', 'highest', 'toll', 'worldwide', 'smartnews']","['u', 'coronavirus', 'death', 'top', '150000', 'high', 'toll', 'worldwide', 'smartnews']",1,0,0
168,TigerGraph is helping in the fight against the coronavirus Our COVID19 starter kit helps with contact tracing It… ,TigerGraphDB,Made in Silicon Valley,,"['tigergraph', 'helping', 'fight', 'coronavirus', 'covid19', 'starter', 'kit', 'helps', 'contact', 'tracing', 'it…']","['tigergraph', 'help', 'fight', 'coronavirus', 'covid19', 'starter', 'kit', 'help', 'contact', 'trace', 'it…']",0,1,0
169,Sensors Can Reduce the Spread of COVID19  via  ,AllSensors,"Morgan Hill, CA",,"['sensors', 'reduce', 'spread', 'covid19', 'via']","['sensor', 'reduce', 'spread', 'covid19', 'via']",0,1,0
170, My elderly neighbor is still in the hospital with covid He hadn’t left home he had ONE caregiver who… ,Jelliclethot,She/her,,"['elderly', 'neighbor', 'still', 'hospital', 'covid', '’', 'left', 'home', 'one', 'caregiver', 'who…']","['elderly', 'neighbor', 'still', 'hospital', 'covid', '’', 'leave', 'home', 'one', 'caregiver', 'who…']",0,1,0
171,Havent seen 1 single lawmaker say anything about holding businesses accountable for covid outbreaks I feel like e… ,NathanWegs,"Minneapolis, MN",,"['havent', 'seen', '1', 'single', 'lawmaker', 'say', 'anything', 'holding', 'businesses', 'accountable', 'covid', 'outbreaks', 'feel', 'like', 'e…']","['havent', 'see', '1', 'single', 'lawmaker', 'say', 'anything', 'hold', 'business', 'accountable', 'covid', 'outbreak', 'feel', 'like', 'e…']",0,0,1
172,US hits 150000 deaths from COVID19 as states struggle to halt resurgence  USA TODAY  US hits 150000 deaths fr… ,sfbaycalifornia,,,"['us', 'hits', '150000', 'deaths', 'covid19', 'states', 'struggle', 'halt', 'resurgence', 'usa', 'today', 'us', 'hits', '150000', 'deaths', 'fr…']","['u', 'hit', '150000', 'death', 'covid19', 'state', 'struggle', 'halt', 'resurgence', 'usa', 'today', 'u', 'hit', '150000', 'death', 'fr…']",0,1,0
173,US coronavirus deaths top 150000 highest toll worldwide SmartNews  ,HelbornLilith,,,"['us', 'coronavirus', 'deaths', 'top', '150000', 'highest', 'toll', 'worldwide', 'smartnews']","['u', 'coronavirus', 'death', 'top', '150000', 'high', 'toll', 'worldwide', 'smartnews']",1,0,0
